#	Time of Day	Thread	Module	API	Return Value	Error	Duration
1	10:30:02.226 PM	1	d3d9.dll	CreateFileA ( "C:\Riot Games\League of Legends\RADS\solutions\lol_game_client_sln\releases\0.0.0.247\deploy\League of Legends.exe", GENERIC_READ, FILE_SHARE_DELETE | FILE_SHARE_READ | FILE_SHARE_WRITE, NULL, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x0000015c		0.0000217
2	10:30:02.230 PM	1	League of Legends.exe	CreateFileA ( "\\.\pipe\LogViewerPipe", GENERIC_WRITE, 0, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	INVALID_HANDLE_VALUE	2 = The system cannot find the file specified. 	0.0000146
3	10:30:02.230 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/Logs/Game - R3d Logs/2013-09-16T22-30-02_r3dlog.txt", GENERIC_WRITE, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd6c8, CREATE_ALWAYS, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000180		0.0001103
4	10:30:02.230 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/Logs/Game - R3d Logs/2013-09-16T22-30-02_r3dlog.txt", GENERIC_WRITE, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd6c8, OPEN_ALWAYS, FILE_ATTRIBUTE_NORMAL, NULL )	0x00000180		0.0000178
5	10:30:02.231 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.247/solutionmanifest", GENERIC_READ, FILE_SHARE_READ, 0x000cf08c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001a4		0.0000158
6	10:30:02.231 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.247/configurationmanifest", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000ce064, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001a4		0.0000149
7	10:30:02.232 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client_en_us/releases/0.0.0.165/releasemanifest", GENERIC_READ, FILE_SHARE_READ, 0x000cef34, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001a4		0.0000129
8	10:30:02.232 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/releases/0.0.0.180/releasemanifest", GENERIC_READ, FILE_SHARE_READ, 0x000cef34, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001a4		0.0000111
9	10:30:02.244 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.179/Archive_65414224.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001a8		0.0000214
10	10:30:02.244 PM	1	RiotRadsIO.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.179/Archive_65414224.raf.dat", GENERIC_READ, FILE_SHARE_READ, NULL, OPEN_EXISTING, FILE_FLAG_OVERLAPPED, NULL )	0x000001a4		0.0000222
11	10:30:02.244 PM	1	MSVCR80.dll	CreateFileA ( "C:/Riot Games/League of Legends/RADS/projects/lol_game_client/filearchives/0.0.0.63/Archive_114251360.raf", GENERIC_READ, FILE_SHARE_READ | FILE_SHARE_WRITE, 0x000cd84c, OPEN_EXISTING, FILE_ATTRIBUTE_NORMAL, NULL )	0x000001ac		0.0000187
